Current Average Wait Time: one week|wip|delayed|done|
Workshop Job Reference Number|Last Updated|Repair Brief|Current Progress|Status
H7483|2026-05-19|Bulk repair; see separate sheet|See separate sheet|delayed
SHOP STOCK 2|2026-06-26|Full restore for sale|Cleaned, polished frets and oiled fretboard. Restrung|wip
SHOP STOCK 3|2026-06-25|Full restore for sale|Cleaned, polished frets, oiled fretboard. Bridge needs significant work.|wip
H7628|2026-08-28|Setup without restring, sort disparity between pickup output levels. Install push/pull coil splitting on both pickups.|Researched and ordered necessary parts. Cleaned guitar, polished frets, oiled fretboard. Restrung with original strings as per request, applied contact cleaner to pickup switch to sort pickup volume issue.|Parts ordered
||||
||||
